func_id: 100
=====================================

8	113	操作标志	1	2	1	1
9	146	委托编号	10	2	24	0
10	510	合约代码	10	2	8	0
11	162	撤单数量	3	2	8	0
12	173	席位代码	10	2	8	0
13	718	系统中心号	10	2	32	0
14	142	委托日期	8	2	12	0
15	130	买卖标志	1	2	1	1
16	514	投保标志	1	2	1	1
17	513	开平标志	1	2	1	1
18	144	委托数量	3	2	8	0
19	145	委托价格	5	2	8	0
20	377	合同编号	10	2	24	0
21	135	资金密码	10	2	12	1
22	143	委托时间	9	2	8	0
23	151	成交时间	9	2	8	0
24	1227	参数	10	2	80	1
25	516	成交属性	10	2	32	1
26	397	产品标志	1	2	1	1
27	101	交易所名称	10	2	12	0
28	1302	检查信息	10	2	256	1
29	4189	字段引用	10	2	256	0
30	5250	CPU	10	2	800	1
31	5251	HD	10	2	800	1
32	5252	LIP	10	2	800	1
33	5253	系统节点编号	3	2	8	1
34	5254	真实营业部代码	3	2	8	1

0	146	委托编号	10	2	24	0
1	1213	保留信息	10	2	80	1

func_id: 202
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	130	买卖标志	1	2	1	1
7	138	通讯密码	10	2	12	1
8	100	交易所代码	1	2	1	1
9	140	证券代码	10	2	8	0
10	145	委托价格	5	2	8	0
11	133	交易单位	1	2	1	0
12	144	委托数量	3	2	8	0
13	166	委托方式	1	2	1	1
14	132	币种	1	2	1	0
15	148	委托金额	6	2	12	0
16	142	委托日期	8	2	12	0
17	143	委托时间	9	2	8	0
18	146	委托编号	10	2	24	0
19	606	批次号	10	2	24	0
20	173	席位代码	10	2	8	0
21	510	合约代码	10	2	8	0
22	513	开平标志	1	2	1	1
23	514	投保标志	1	2	1	1
24	1223	检查风险标志	1	2	1	1
25	326	分仓基量	3	2	8	0
26	135	资金密码	10	2	12	1
27	241	约定序号	10	2	16	0
28	242	对方席位代码	10	2	16	0
29	243	对方资金帐号	10	2	16	0
